Label,neighbor,clustering,degree,closeness,betweenness,community,density,in,out,bi
1,23,0.656126,0.116751,0.429194,0.000851,1,0.18254,0,1,0
8,21,0.742857,0.106599,0.461358,0.000576,1,0.33871,0.047619,0.952381,0
24,29,0.480296,0.147208,0.484029,0.006629,1,0.432836,0.137931,0.862069,0
35,43,0.635659,0.218274,0.461358,0.002208,1,0.494253,0.116279,0.883721,0
42,12,0.515152,0.060914,0.442697,0.000856,1,0.074074,0.166667,0.833333,0
46,23,0.648221,0.116751,0.431072,0.000805,1,4.6,0.217391,0.782609,0
60,96,0.311623,0.48731,0.58982,0.057539,1,0.57485,0.291667,0.708333,0
74,20,0.515789,0.101523,0.429194,0.001436,1,0.13245,0.35,0.65,0
78,26,0.461538,0.13198,0.482843,0.004032,1,0.169935,0.307692,0.692308,0
81,42,0.483159,0.213198,0.498734,0.013289,1,0.297872,0.404762,0.595238,0
95,40,0.512821,0.203046,0.503836,0.004314,1,0.264901,0.35,0.65,0
98,46,0.64058,0.233503,0.511688,0.003418,1,0.310811,0.434783,0.565217,0
99,60,0.464972,0.304569,0.536785,0.014079,1,0.594059,0.5,0.5,0
100,49,0.595238,0.248731,0.515707,0.004381,1,0.310127,0.510204,0.489796,0
101,49,0.592687,0.248731,0.515707,0.004793,1,0.620253,0.489796,0.510204,0
103,23,0.462451,0.116751,0.445701,0.002019,1,0.2875,0.521739,0.478261,0
104,20,0.515789,0.101523,0.412998,0.001804,1,0.17094,0.65,0.35,0
108,60,0.485876,0.304569,0.532432,0.009455,1,0.335196,0.583333,0.416667,0
131,56,0.512987,0.284264,0.525333,0.00864,1,0.331361,0.678571,0.321429,0
132,75,0.403964,0.380711,0.55493,0.017638,1,0.462963,0.68,0.32,0
154,43,0.635659,0.218274,0.461358,0.002208,1,0.914894,0.860465,0.139535,0
159,10,0.466667,0.050761,0.412134,0.000687,1,0.063694,0.9,0.1,0
168,74,0.362088,0.375635,0.581121,0.0396,1,0.513889,0.878378,0.121622,0
171,45,0.462626,0.228426,0.507732,0.006242,1,0.277778,0.888889,0.111111,0
2,3,1,0.015228,0.358834,0,1,0.039474,0,1,0
14,25,0.706667,0.126904,0.474699,0.002261,1,0.19685,0.12,0.88,0
54,46,0.447343,0.233503,0.522546,0.011206,1,0.484211,0.217391,0.782609,0
150,39,0.522267,0.19797,0.518421,0.009363,1,0.357798,0.692308,0.307692,0
3,4,1,0.020305,0.372401,0,1,0.027027,0,1,0
115,7,0.380952,0.035533,0.375954,0.028317,1,1.4,0.142857,0.857143,0
153,41,0.286585,0.208122,0.522546,0.068292,1,0.29078,0.853659,0.146341,0
167,45,0.442424,0.228426,0.511688,0.039381,1,0.290323,0.822222,0.177778,0
172,40,0.529487,0.203046,0.497475,0.014695,1,0.296296,0.875,0.125,0
4,16,0.825,0.081218,0.397177,0.000235,1,0.172043,0,1,0
5,46,0.421256,0.233503,0.509044,0.027238,1,0.343284,0.021739,0.978261,0
13,25,0.673333,0.126904,0.41649,0.004149,1,0.170068,0.08,0.92,0
26,31,0.690323,0.15736,0.449772,0.002203,1,0.462687,0.096774,0.903226,0
77,29,0.679803,0.147208,0.461358,0.002635,1,0.245763,0.310345,0.689655,0
85,19,0.877193,0.096447,0.402863,0.00016,1,0.206522,0.368421,0.631579,0
102,19,0.894737,0.096447,0.387033,0.0001,1,0.140741,0.421053,0.578947,0
138,23,0.667984,0.116751,0.452874,0.005106,1,0.184,0.608696,0.391304,0
147,39,0.573549,0.19797,0.493734,0.005161,1,0.272727,0.692308,0.307692,0
156,22,0.805195,0.111675,0.40535,0.000899,1,0.134146,0.681818,0.318182,0
169,23,0.814229,0.116751,0.407025,0.000402,1,0.174242,0.826087,0.173913,0
173,24,0.797101,0.121827,0.407867,0.000472,1,0.192,0.833333,0.166667,0
176,24,0.731884,0.121827,0.439732,0.001885,1,0.1875,0.833333,0.166667,0
189,31,0.492473,0.15736,0.478155,0.029551,1,0.62,0.967742,0.032258,0
19,24,0.655797,0.121827,0.487624,0.001612,1,0.303797,0.166667,0.833333,0
21,1,,0.005076,0.337907,0,1,0.005618,1,0,0
27,13,0.974359,0.06599,0.401222,0.000021,1,0.086093,0.076923,0.923077,0
28,28,0.748677,0.142132,0.426407,0.000926,1,0.195804,0.107143,0.892857,0
29,31,0.658065,0.15736,0.473558,0.001946,1,0.22963,0.16129,0.83871,0
51,19,0.719298,0.096447,0.454965,0.001873,1,0.106145,0.210526,0.789474,0
53,42,0.505226,0.213198,0.523936,0.006255,1,0.241379,0.285714,0.714286,0
57,37,0.551051,0.187817,0.510363,0.003809,1,0.256944,0.351351,0.648649,0
73,31,0.56129,0.15736,0.510363,0.010319,1,0.202614,0.290323,0.709677,0
75,17,0.772059,0.086294,0.442697,0.000493,1,0.097701,0.117647,0.882353,0
76,16,0.875,0.081218,0.447727,0.000291,1,0.121212,0.3125,0.6875,0
79,20,0.621053,0.101523,0.459207,0.001291,1,0.135135,0.25,0.75,0
86,40,0.528205,0.203046,0.502551,0.008711,1,0.239521,0.375,0.625,0
90,33,0.545455,0.167513,0.491272,0.013787,1,0.22449,0.393939,0.606061,0
96,52,0.371795,0.263959,0.51436,0.028027,1,0.393939,0.423077,0.576923,0
97,18,0.784314,0.091371,0.445701,0.000732,1,0.136364,0.5,0.5,0
124,16,0.833333,0.081218,0.398785,0.000148,1,0.120301,0.5625,0.4375,0
126,17,0.867647,0.086294,0.451835,0.000336,1,0.106918,0.470588,0.529412,0
128,40,0.552564,0.203046,0.501272,0.006224,1,0.251572,0.55,0.45,0
136,100,0.237172,0.507614,0.648026,0.151056,1,0.564972,0.62,0.38,0
140,31,0.707527,0.15736,0.484029,0.002918,1,0.24031,0.548387,0.451613,0
144,17,0.801471,0.086294,0.448747,0.000634,1,0.097701,0.647059,0.352941,0
149,54,0.349406,0.274112,0.530997,0.045179,1,0.3,0.648148,0.351852,0
155,20,0.568421,0.101523,0.426407,0.013309,1,0.120482,0.7,0.3,0
163,12,0.742424,0.060914,0.445701,0.002351,1,0.099174,0.75,0.25,0
191,25,0.806667,0.126904,0.472422,0.001349,1,0.141243,1,0,0
194,56,0.451948,0.284264,0.548747,0.011375,1,0.448,0.946429,0.053571,0
196,45,0.482828,0.228426,0.525333,0.005946,1,0.333333,0.977778,0.022222,0
197,36,0.603175,0.182741,0.509044,0.003308,1,0.258993,1,0,0
6,2,1,0.010152,0.21768,0,1,0.014184,0,1,0
152,3,0.666667,0.015228,0.27514,0.004669,1,0.018293,0.666667,0.333333,0
157,4,0.333333,0.020305,0.277465,0.005672,1,0.027397,0.75,0.25,0
7,57,0.442356,0.28934,0.52815,0.009055,1,0.377483,0,1,0
10,27,0.678063,0.137056,0.45814,0.000827,1,0.167702,0.037037,0.962963,0
11,23,0.494071,0.116751,0.465721,0.004818,1,0.179688,0.130435,0.869565,0
36,26,0.735385,0.13198,0.462441,0.000699,1,0.141304,0.038462,0.961538,0
49,42,0.473868,0.213198,0.522546,0.008202,1,0.265823,0.142857,0.857143,0
55,25,0.786667,0.126904,0.45814,0.000331,1,0.271739,0.32,0.68,0
56,32,0.649194,0.162437,0.478155,0.000986,1,0.197531,0.3125,0.6875,0
61,33,0.541667,0.167513,0.471292,0.002394,1,0.240876,0.424242,0.575758,0
67,29,0.586207,0.147208,0.505128,0.003985,1,0.163842,0.241379,0.758621,0
69,53,0.447025,0.269036,0.532432,0.010083,1,0.309942,0.132075,0.867925,0
70,62,0.397673,0.314721,0.559659,0.025732,1,0.3875,0.225806,0.774194,0
71,30,0.468966,0.152284,0.496222,0.008281,1,0.232558,0.266667,0.733333,0
72,9,0.833333,0.045685,0.415612,0.000033,1,0.163636,0.444444,0.555556,0
83,59,0.383402,0.299492,0.558074,0.02758,1,0.378205,0.305085,0.694915,0
87,24,0.666667,0.121827,0.450801,0.001042,1,0.153846,0.458333,0.541667,0
93,27,0.766382,0.137056,0.474699,0.000405,1,0.162651,0.185185,0.814815,0
94,26,0.796923,0.13198,0.473558,0.000314,1,0.163522,0.230769,0.769231,0
111,41,0.439024,0.208122,0.513021,0.008834,1,0.29927,0.512195,0.487805,0
112,28,0.68254,0.142132,0.459207,0.00086,1,0.169697,0.535714,0.464286,0
113,13,1,0.06599,0.408714,0,1,0.076923,0.615385,0.384615,0
114,44,0.47463,0.22335,0.501272,0.004687,1,0.266667,0.568182,0.431818,0
122,55,0.472727,0.279188,0.548747,0.018313,1,0.333333,0.690909,0.309091,0
125,31,0.658065,0.15736,0.491272,0.001938,1,0.407895,0.548387,0.451613,0
127,29,0.647783,0.147208,0.478155,0.001024,1,0.218045,0.517241,0.482759,0
129,23,0.679842,0.116751,0.467933,0.000683,1,0.205357,0.652174,0.347826,0
130,35,0.6,0.177665,0.491272,0.001857,1,0.212121,0.542857,0.457143,0
141,23,0.731225,0.116751,0.466825,0.000407,1,0.172932,0.695652,0.304348,0
146,27,0.77208,0.137056,0.474699,0.000395,1,0.204545,0.666667,0.333333,0
151,23,0.727273,0.116751,0.466825,0.000559,1,0.138554,0.695652,0.304348,0
158,59,0.399766,0.299492,0.538251,0.012984,1,0.41844,0.762712,0.237288,0
161,31,0.610753,0.15736,0.491272,0.002589,1,0.184524,0.83871,0.16129,0
164,53,0.470247,0.269036,0.52957,0.009359,1,0.315476,0.811321,0.188679,0
170,48,0.475177,0.243655,0.513021,0.005817,1,0.340426,0.791667,0.208333,0
177,20,0.736842,0.101523,0.459207,0.000369,1,0.188679,0.8,0.2,0
178,39,0.526316,0.19797,0.525333,0.015872,1,0.242236,0.846154,0.153846,0
185,15,0.666667,0.076142,0.434879,0.010238,1,0.217391,0.933333,0.066667,0
190,27,0.77208,0.137056,0.474699,0.000395,1,0.182432,0.925926,0.074074,0
192,55,0.442424,0.279188,0.535326,0.016541,1,0.37415,0.945455,0.054545,0
193,28,0.748677,0.142132,0.475845,0.000456,1,0.159091,1,0,0
195,46,0.488889,0.233503,0.523936,0.008458,1,0.657143,0.956522,0.043478,0
89,17,0.683824,0.086294,0.481663,0.000592,1,1.7,0.235294,0.764706,0
110,43,0.632337,0.218274,0.511688,0.005796,1,0.244318,0.651163,0.348837,0
118,41,0.415854,0.208122,0.523936,0.009338,1,0.22905,0.487805,0.512195,0
121,39,0.452092,0.19797,0.521164,0.007127,1,0.293233,0.512821,0.487179,0
142,31,0.524731,0.15736,0.503836,0.002977,1,0.348315,0.612903,0.387097,0
174,52,0.390649,0.263959,0.539726,0.017666,1,0.315152,0.903846,0.096154,0
9,20,0.552632,0.101523,0.466825,0.002969,1,0.140845,0,1,0
23,13,0.75641,0.06599,0.446712,0.000329,1,0.082803,0.153846,0.846154,0
32,41,0.610976,0.208122,0.49005,0.006005,1,0.254658,0.097561,0.902439,0
38,19,0.584795,0.096447,0.426407,0.002627,1,0.122581,0.263158,0.736842,0
80,19,0.473684,0.096447,0.46028,0.005194,1,0.117284,0.526316,0.473684,0
116,20,0.468421,0.101523,0.461358,0.010054,1,0.121212,0.4,0.6,0
117,13,0.679487,0.06599,0.452874,0.00244,1,0.078313,0.384615,0.615385,0
135,51,0.46902,0.258883,0.513021,0.018555,1,0.927273,0.784314,0.215686,0
137,16,0.583333,0.081218,0.491272,0.001781,1,0.131148,0.75,0.25,0
139,18,0.601307,0.091371,0.433921,0.001123,1,0.111801,0.833333,0.166667,0
162,19,0.415205,0.096447,0.478155,0.003517,1,0.1,0.789474,0.210526,0
179,46,0.5343,0.233503,0.5,0.011375,1,0.261364,0.956522,0.043478,0
12,21,0.728571,0.106599,0.46028,0.000542,1,0.151079,0,1,0
18,37,0.465465,0.187817,0.519789,0.013852,1,0.291339,0.027027,0.972973,0
31,20,0.721053,0.101523,0.449772,0.000579,1,0.127389,0.15,0.85,0
25,6,0.6,0.030457,0.381044,0.000557,1,0.038961,0.166667,0.833333,0
92,5,0.7,0.025381,0.360806,0.000061,1,0.028571,0.4,0.6,0
148,5,0.7,0.025381,0.354317,0.000255,1,0.03268,0.8,0.2,0
186,13,1,0.06599,0.428261,0,1,0.093525,0.846154,0.153846,0
15,8,0.928571,0.040609,0.366171,0.000013,1,0.166667,0,1,0
16,9,0.805556,0.045685,0.367537,0.000055,1,0.057692,0.111111,0.888889,0
48,8,0.928571,0.040609,0.366171,0.000013,1,0.050955,0.375,0.625,0
91,24,0.474638,0.121827,0.436807,0.004881,1,0.444444,0.541667,0.458333,0
105,48,0.571809,0.243655,0.51436,0.012402,1,0.284024,0.5625,0.4375,0
107,38,0.669986,0.192893,0.453917,0.004426,1,0.213483,0.631579,0.368421,0
17,2,,0.010152,0.409563,0.000055,1,0.012987,0,1,0
62,30,0.933333,0.152284,0.445701,0.001909,1,3,0.266667,0.733333,0
50,27,0.490028,0.137056,0.467933,0.002518,1,0.153409,0.148148,0.851852,0
88,36,0.420635,0.182741,0.51706,0.014179,1,0.268657,0.388889,0.611111,0
183,39,0.395412,0.19797,0.501272,0.006785,1,0.345133,0.871795,0.128205,0
184,22,0.835498,0.111675,0.452874,0.000898,1,0.23913,0.909091,0.090909,0
20,11,0.563636,0.055838,0.463529,0.000502,1,0.785714,0.090909,0.909091,0
22,19,1,0.096447,0.466825,0,1,0.110465,0,1,0
43,29,0.608374,0.147208,0.487624,0.001704,1,0.243697,0.068966,0.931034,0
182,25,0.73,0.126904,0.475845,0.000573,1,0.454545,0.88,0.12,0
198,14,0.769231,0.071066,0.394,0.000155,1,0.084337,1,0,0
30,1,,0.005076,0.281429,0,1,0.006024,0,1,0
34,4,0.5,0.020305,0.390873,0.010152,1,0.028369,0.25,0.75,0
106,39,0.65722,0.19797,0.456019,0.002385,1,0.226744,0.589744,0.410256,0
123,40,0.633333,0.203046,0.457077,0.00277,1,2.5,0.75,0.25,0
33,34,0.791444,0.172589,0.452874,0.002803,1,0.263566,0.029412,0.970588,0
40,34,0.791444,0.172589,0.452874,0.002803,1,0.208589,0.117647,0.882353,0
44,37,0.744745,0.187817,0.452874,0.001217,1,0.205556,0.135135,0.864865,0
58,32,0.864919,0.162437,0.447727,0.000526,1,0.336842,0.15625,0.84375,0
63,31,0.911828,0.15736,0.446712,0.000341,1,0.187879,0.290323,0.709677,0
64,32,0.889113,0.162437,0.448747,0.000318,1,0.195122,0.3125,0.6875,0
65,33,0.861742,0.167513,0.485222,0.001165,1,0.208861,0.333333,0.666667,0
66,34,0.83066,0.172589,0.48642,0.001303,1,0.357895,0.352941,0.647059,0
109,33,0.835227,0.167513,0.462441,0.001528,1,0.183333,0.666667,0.333333,0
119,9,0.777778,0.045685,0.368914,0.010152,1,0.065693,0.555556,0.444444,0
134,13,0.551282,0.06599,0.423656,0.001999,1,0.104,0.692308,0.307692,0
68,14,0.824176,0.071066,0.427332,0.000072,1,0.09396,0.285714,0.714286,0
166,14,0.824176,0.071066,0.427332,0.000072,1,0.077348,0.714286,0.285714,0
187,18,0.764706,0.091371,0.432018,0.000396,1,0.113924,0.944444,0.055556,0
37,5,0.5,0.025381,0.373814,0.001592,1,0.185185,0,1,0
133,6,0.533333,0.030457,0.351159,0.00073,1,0.065217,0.333333,0.666667,0
180,5,0.4,0.025381,0.309748,0.001905,1,0.031447,1,0,0
39,6,0.6,0.030457,0.396378,0.000418,1,0.036364,0,1,0
181,6,0.6,0.030457,0.396378,0.000418,1,0.042857,1,0,0
41,7,1,0.035533,0.42094,0,1,0.053435,0,1,0
45,7,1,0.035533,0.42094,0,1,0.055118,0.142857,0.857143,0
59,12,0.681818,0.060914,0.448747,0.000193,1,0.092308,0.083333,0.916667,0
82,8,1,0.040609,0.425486,0,1,0.051282,0.25,0.75,0
143,17,0.617647,0.086294,0.461358,0.000635,1,0.111842,0.941176,0.058824,0
47,3,0.666667,0.015228,0.343805,0.000258,1,0.019231,0,1,0
52,6,0.866667,0.030457,0.429194,0.000009,1,0.039216,0.166667,0.833333,0
188,10,0.466667,0.050761,0.454965,0.000519,1,0.057471,1,0,0
84,14,0.582418,0.071066,0.463529,0.00113,1,0.089744,0.142857,0.857143,0
175,18,0.745098,0.091371,0.444695,0.000275,1,0.098901,0.666667,0.333333,0
120,1,,0.005076,0.269863,0,1,0.005747,1,0,0
145,2,1,0.010152,0.341421,0,1,0.011299,0.5,0.5,0
160,1,,0.005076,0.347443,0,1,0.005747,1,0,0
165,1,,0.005076,0.303544,0,1,0.011765,0,1,0
